source_id,amount_text,amount_value,amount_unit,year_mentions,province_mentions,evidence_text,verification_status
chongqing_2025_cross_province,7 亿元,7,亿元,,,强化了 “ 谁保护谁受益、谁破坏谁补偿 ” 的责任意识，激发各地政府 “ 赛马比拼、齐抓共管 ” 的内生动力，相关方累计拨付补偿资金逾 7 亿元，有效拓展流域保护治理资金的来源渠道，用财政 “ 小资金 ” 撬动长江保护 “ 大作为 ” ，如临长江的永川区， 2018-2023 年投入水污染防治资金 6.2 亿元，年均增长 26% 。,candidate_requires_manual_review
chongqing_2025_cross_province,6.2 亿元,6.2,亿元,,,强化了 “ 谁保护谁受益、谁破坏谁补偿 ” 的责任意识，激发各地政府 “ 赛马比拼、齐抓共管 ” 的内生动力，相关方累计拨付补偿资金逾 7 亿元，有效拓展流域保护治理资金的来源渠道，用财政 “ 小资金 ” 撬动长江保护 “ 大作为 ” ，如临长江的永川区， 2018-2023 年投入水污染防治资金 6.2 亿元，年均增长 26% 。,candidate_requires_manual_review
guizhou_2023_chishui_payment,2550万元,2550,万元,2023,四川|云南|贵州,个人中心 | 贵州政务服务网 首页 新闻中心 政务公开 互动交流 业务系统 办事服务 专题专栏 数据开放 省财政厅关于拨付2023年赤水河流域横向生态保护补偿资金的通知 黔财资环〔2024〕46号 省生态环境厅： 按照云南、贵州、四川三省人民政府签订的《第二轮赤水河流域横向生态保护补偿协议》的要求，根据《云南省财政厅云南省生态环境厅关于商请清算2023年赤水河流域横向生态保护补偿资金的函》（云财资环函〔2024〕44号）和《省生态环境厅关于拨付2023年度赤水河流域横向生态保护补偿资金的函》，现请你厅拨付2023年赤水河流域横向生态补偿资金2550万元至云南省财政厅。,candidate_requires_manual_review
guizhou_2024_chishui_decision,"84,281.49万元",84281.49,万元,2023|2024,,"- 27 - 第三部分 2024年度部门决算情况说明 - 28 - 一、收入支出决算总体情况说明 2024年度收、支总计均为84,281.49万元，与2023年度相比， 收、支总计各减少32,908.20万元，下降28.08%，主要原因是： 2024年生态环保基金预算（2023年5.5亿元）未下达省生态环境 厅。",candidate_requires_manual_review
guizhou_2024_chishui_decision,"32,908.20万元",32908.20,万元,2023|2024,,"- 27 - 第三部分 2024年度部门决算情况说明 - 28 - 一、收入支出决算总体情况说明 2024年度收、支总计均为84,281.49万元，与2023年度相比， 收、支总计各减少32,908.20万元，下降28.08%，主要原因是： 2024年生态环保基金预算（2023年5.5亿元）未下达省生态环境 厅。",candidate_requires_manual_review
guizhou_2024_chishui_decision,5.5亿元,5.5,亿元,2023|2024,,"- 27 - 第三部分 2024年度部门决算情况说明 - 28 - 一、收入支出决算总体情况说明 2024年度收、支总计均为84,281.49万元，与2023年度相比， 收、支总计各减少32,908.20万元，下降28.08%，主要原因是： 2024年生态环保基金预算（2023年5.5亿元）未下达省生态环境 厅。",candidate_requires_manual_review
guizhou_2024_chishui_decision,"79,094.81万元",79094.81,万元,2024,,"二、收入决算情况说明 2024年度本年收入合计79,094.81万元，其中：财政拨款收入 68,304.23万元，占86.36%；",candidate_requires_manual_review
guizhou_2024_chishui_decision,"68,304.23万元",68304.23,万元,2024,,"二、收入决算情况说明 2024年度本年收入合计79,094.81万元，其中：财政拨款收入 68,304.23万元，占86.36%；",candidate_requires_manual_review
guizhou_2024_chishui_decision,0.00万元,0.00,万元,,,上级补助收入0.00万元，占0.00%；,candidate_requires_manual_review
guizhou_2024_chishui_decision,"1,905.45万元",1905.45,万元,,,"事业收入1,905.45万元，占2.41%；",candidate_requires_manual_review
guizhou_2024_chishui_decision,"8,595.37万元",8595.37,万元,,,"经营收入8,595.37万元，占 10.87%；",candidate_requires_manual_review
guizhou_2024_chishui_decision,0.00万元,0.00,万元,,,附属单位上缴收入0.00万元，占0.00%；,candidate_requires_manual_review
guizhou_2024_chishui_decision,289.76 万元,289.76,万元,,,其他收入289.76 万元，占0.37%。,candidate_requires_manual_review
guizhou_2024_chishui_decision,"74,364.58万元",74364.58,万元,2024,,"三、支出决算情况说明 2024年度本年支出合计74,364.58万元，其中：基本支出 16,872.57万元，占22.69%；",candidate_requires_manual_review
guizhou_2024_chishui_decision,"16,872.57万元",16872.57,万元,2024,,"三、支出决算情况说明 2024年度本年支出合计74,364.58万元，其中：基本支出 16,872.57万元，占22.69%；",candidate_requires_manual_review
guizhou_2024_chishui_decision,"51,483.03万元",51483.03,万元,,,"项目支出51,483.03万元，占 69.23%；",candidate_requires_manual_review
guizhou_2024_chishui_decision,0.00万元,0.00,万元,,,上缴上级支出0.00万元，占0.00%；,candidate_requires_manual_review
guizhou_2024_chishui_decision,0.00万元,0.00,万元,,,对附属单位补助支出0.00万元，占0.00%。,candidate_requires_manual_review
guizhou_2024_chishui_decision,"72,009.48万元",72009.48,万元,2024,,"四、财政拨款收入支出决算总体情况说明 2024年度财政拨款收、支总计均为72,009.48万元。",candidate_requires_manual_review
guizhou_2024_chishui_decision,"38,173.37万元",38173.37,万元,2023|2024,,"与2023年 度相比，收、支总计各减少38,173.37万元，下降34.65%，主要原 因是：2024年生态环保基金预算（2023年5.5亿元）未下达省生态 环境厅。",candidate_requires_manual_review
guizhou_2024_chishui_decision,5.5亿元,5.5,亿元,2023|2024,,"与2023年 度相比，收、支总计各减少38,173.37万元，下降34.65%，主要原 因是：2024年生态环保基金预算（2023年5.5亿元）未下达省生态 环境厅。",candidate_requires_manual_review
guizhou_2024_chishui_decision,"12,272.02万元",12272.02,万元,2024,,"- 29 - 五、非财政拨款收入支出决算总体情况说明 2024年度非财政拨款收入决算总计12,272.02万元。",candidate_requires_manual_review
guizhou_2024_chishui_decision,"10,790.58万元",10790.58,万元,,,"其中：本 年收入合计10,790.58万元，使用非财政拨款结余（含专用结余） 0.00万元，年初结转和结余1,481.44万元。",candidate_requires_manual_review
guizhou_2024_chishui_decision,0.00万元,0.00,万元,,,"其中：本 年收入合计10,790.58万元，使用非财政拨款结余（含专用结余） 0.00万元，年初结转和结余1,481.44万元。",candidate_requires_manual_review
guizhou_2024_chishui_decision,"1,481.44万元",1481.44,万元,,,"其中：本 年收入合计10,790.58万元，使用非财政拨款结余（含专用结余） 0.00万元，年初结转和结余1,481.44万元。",candidate_requires_manual_review
guizhou_2024_chishui_decision,"12,272.02万元",12272.02,万元,2024,,"2024年度非财政拨款支出决算总计12,272.02万元。",candidate_requires_manual_review
guizhou_2024_chishui_decision,"7,703.93万元",7703.93,万元,,,"其中：本 年支出合计7,703.93万元，结余分配2,586.39万元，年末结转和 结余1,981.70万元。",candidate_requires_manual_review
guizhou_2024_chishui_decision,"2,586.39万元",2586.39,万元,,,"其中：本 年支出合计7,703.93万元，结余分配2,586.39万元，年末结转和 结余1,981.70万元。",candidate_requires_manual_review
guizhou_2024_chishui_decision,"1,981.70万元",1981.70,万元,,,"其中：本 年支出合计7,703.93万元，结余分配2,586.39万元，年末结转和 结余1,981.70万元。",candidate_requires_manual_review
guizhou_2024_chishui_decision,"66,660.65万元",66660.65,万元,2024,,"六、一般公共预算财政拨款支出决算情况说明 （一）一般公共预算财政拨款支出决算总体情况 2024年度一般公共预算财政拨款支出66,660.65万元，占本年 支出合计的89.64%。",candidate_requires_manual_review
guizhou_2024_chishui_decision,"39,804.82万元",39804.82,万元,2023|2024,,"与2023年度相比，减少39,804.82万元，下降 37.39%，主要原因是：2024年生态环保基金预算（2023年5.5亿 元）未下达省生态环境厅。",candidate_requires_manual_review
guizhou_2024_chishui_decision,45.00万元,45.00,万元,2024,,（二）一般公共预算财政拨款支出决算结构情况 2024年度一般公共预算财政拨款支出主要用于以下方面：一 般公共服务支出（类）45.00万元，占0.07%；,candidate_requires_manual_review
guizhou_2024_chishui_decision,278.51万元,278.51,万元,,,教育支出（类） 278.51万元，占0.42%；,candidate_requires_manual_review
guizhou_2024_chishui_decision,"1,180.40万元",1180.40,万元,,,"科学技术支出（类）1,180.40万元，占 1.77%；",candidate_requires_manual_review
guizhou_2024_chishui_decision,"2,522.62万元",2522.62,万元,,,"社会保障和就业支出（类）2,522.62万元，占3.78%；",candidate_requires_manual_review
guizhou_2024_chishui_decision,868.09万元,868.09,万元,,,卫 生健康支出（类）868.09万元，占1.30%；,candidate_requires_manual_review
