settlement_year,province,reported_amount_10k_cny,reported_symbol,settlement_type,source_id,usable_as_bilateral_p_ijt,notes
2023,上海,-913,-913,长江流域引导资金清算,mof_2023_settlement,no,中央奖励清算调整
2023,江苏,-1405,-1405,长江流域引导资金清算,mof_2023_settlement,no,中央奖励清算调整
2023,安徽,-3171,-3171,长江流域引导资金清算,mof_2023_settlement,no,中央奖励清算调整
2023,湖南,240,240,长江流域引导资金清算,mof_2023_settlement,no,备注涉及酉水
2023,重庆,3359,3359,长江流域引导资金清算,mof_2023_settlement,no,备注涉及长江干流川渝段濑溪河酉水
2023,四川,3034,3034,长江流域引导资金清算,mof_2023_settlement,no,备注涉及长江干流川渝段濑溪河赤水河
2023,贵州,1536,1536,长江流域引导资金清算,mof_2023_settlement,no,备注涉及赤水河
2023,云南,1152,1152,长江流域引导资金清算,mof_2023_settlement,no,备注涉及赤水河
2023,西藏,-130,-130,长江流域引导资金清算,mof_2023_settlement,no,中央奖励清算调整
2023,青海,-458,-458,长江流域引导资金清算,mof_2023_settlement,no,中央奖励清算调整
2024,上海,-1746,-1746,长江流域引导资金清算,mof_2024_settlement,no,中央奖励清算调整
2024,江苏,5500,5500,长江流域引导资金清算,mof_2024_settlement,no,中央奖励清算调整
2024,安徽,3669,3669,长江流域引导资金清算,mof_2024_settlement,no,中央奖励清算调整
2024,江西,1926,1926,长江流域引导资金清算,mof_2024_settlement,no,中央奖励清算调整
2024,湖北,603,603,长江流域引导资金清算,mof_2024_settlement,no,中央奖励清算调整
2024,湖南,1713,1713,长江流域引导资金清算,mof_2024_settlement,no,中央奖励清算调整
2024,重庆,3176,3176,长江流域引导资金清算,mof_2024_settlement,no,中央奖励清算调整
2024,四川,1442,1442,长江流域引导资金清算,mof_2024_settlement,no,中央奖励清算调整
2024,贵州,,-,长江流域引导资金清算,mof_2024_settlement,no,原表以短横线报告
2024,云南,,-,长江流域引导资金清算,mof_2024_settlement,no,原表以短横线报告
2024,西藏,-598,-598,长江流域引导资金清算,mof_2024_settlement,no,中央奖励清算调整
2024,青海,-2473,-2473,长江流域引导资金清算,mof_2024_settlement,no,中央奖励清算调整
