source_id,url,source_type,publisher,scope,expected_year,final_url,format,content_type,fetch_status,error,fetched_at_utc,title,text_length,sha256,text_excerpt
mof_2021_25,https://zyhj.mof.gov.cn/zcfb/202104/t20210430_3695816.htm,policy_rule,财政部,长江全流域,2021,https://zyhj.mof.gov.cn/zcfb/202104/t20210430_3695816.htm,html,text/html,ok,,2026-07-27T10:46:27.770071+00:00,关于印发《支持长江全流域建立横向生态保护补偿机制的实施方案》的通知,559,f6898b59e908b76db87effeb9c1db79ae0840250e907c1edb1a324ffe2ab340e,财政部微信 财政部视频号 财政部 官方抖音号 移动客户端 Android下载 移动客户端 iphone下载 2017年11月21日 星期二 自然资源和生态环境司 自然资源和生态环境司 当前位置： 首页 > 政策发布 财资环〔2021〕25号 上海、江苏、浙江、安徽、福建、江西、河南、湖北、湖南、广东、广西、重庆、四川、贵州、云南、西藏、陕西、甘肃、青海省（自治区、直辖市）财政厅（局）、生态环境厅（局）、水利厅（水务局）、林业和草原局： 为深入贯彻习近平总书记在全面推动长江经济带发展座谈会上的重要讲话精神，加快推动长江流域形成共抓大保护工作格局，财政部、生态环境部、水利部、国家林业和草原局研究制定了《支持长江全流域建立横向生态保护补偿机制的实施方案》，请遵照执行。 附件：支持长江全流域建立横向生态保护补偿机制的实施方案 财政部 生态环境部 水利部 国家林业和草原局 2021年4月16日 附件下载： 支持长江全流域建立横向生态保护补偿机制的实施方案.doc 相关文章： 网站地图 联系我们 主办单位：中华人民共和国财政部 网站标识码：bm14000001 京ICP备05002860号 京公网安备11010202000006号 技术支持：财政部信息网络中心 中华人民共和国财政部 版权所有，如需转载，请注明来源
mof_2025_50,https://zyhj.mof.gov.cn/zcfb/202506/t20250603_3965044.htm,policy_rule,财政部,长江、黄河干流统一机制,2025,https://zyhj.mof.gov.cn/zcfb/202506/t20250603_3965044.htm,html,text/html,ok,,2026-07-27T10:46:27.770071+00:00,财政部 生态环境部 国家发展改革委 水利部 国家林草局关于深入推进大江大河干流横向生态保护补偿机制建设实施方案的通知,2479,a9f20eaf2b24634bbe5de678b2c4f66aef2f33a3c6fe1ee07a1a85049e6642d0,财政部微信 财政部视频号 财政部 官方抖音号 移动客户端 Android下载 移动客户端 iphone下载 2017年11月21日 星期二 自然资源和生态环境司 自然资源和生态环境司 当前位置： 首页 > 政策发布 财资环〔2025〕50号 各省、自治区、直辖市、计划单列市人民政府，新疆生产建设兵团： 为深入贯彻习近平总书记关于横向生态保护补偿机制建设的重要指示批示精神，加快推动流域省（自治区、直辖市、计划单列市，含新疆生产建设兵团，以下统称省）共同抓好大保护、协同推进大治理，在重点流域干流建立统一的横向生态保护补偿机制，进一步提升机制建设质效，以高水平保护支撑高质量发展，经国务院同意，制定本实施方案。现通知如下： 一、总体要求 坚持以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大和二十届二中、三中全会精神，深入践行“绿水青山就是金山银山”理念，推动建立全面覆盖、权责对等、共建共享的大江大河干流横向生态保护补偿机制，实现生态产品供给地与受益地良性互动，真正让保护者、贡献者得到实惠。 ——坚持统筹协调，全流域推进。中央财政积极发挥协调引导作用，在长江、黄河干流建立统一的横向生态保护补偿机制，组织相关省参与，实现经济利益省际合理横向转移。积累经验后，逐步推广至其他重点流域。 ——坚持权责对等，地方可负担。坚持“谁污染、谁治理，谁保护、谁受益”，聚焦流域水质变化情况，科学界定流域省责任和义务。坚持低起步、缓调整，每三年开展一次政策评估调整，合理确定补偿指标和资金规模，确保与水生态环境保护形势相适应、地方财力可承受。 ——坚持结果导向，务求实效。锚定水资源节约集约利用、水生态水环境持续改善目标，将绩效理念和方法深度融入资金管理全过程，强调成本效益、硬化责任约束，提高财政资源配置效率和使用效益。 到2027年，长江、黄河干流统一的横向生态保护补偿机制建成并稳定运行，主要一级支流横向生态保护补偿机制基本建立。到2035年，横向生态保护补偿机制建设全面覆盖长江、黄河等重点流域干流及其重要支流，补偿内容更加丰富、方式更加多样、标准更加完善、机制更加成熟。 二、实施范围 先聚焦长江、黄河干流流经省 ， 其中长江流域具体包括青海省、西藏自治区、四川省、云南省、重庆市、湖北省、湖南省、江西省、安徽省、江苏省、上海市；黄河流域具体包括青海省、四川省、甘肃省、宁夏回族自治区、内蒙古自治区、陕西省、山西省、河南省、山东省。后续根据政策效果，适时将其他重点流域省纳入实施范围。 三、主要措施 （一）统一核算补偿资金。分别从空间、时间两个维度，依据各省干流入境、出境国家地表水考核断面（以下简称断面）水质变化以及本省干流全部断面水质较以前年度变化情况，统一核算各省出资或受偿金额。根据政策效果适时调整补偿资金规模。水质指标选取高锰酸盐指数、氨氮、总磷三项污染物指标，权重分别为30%、30%、40%。 （二）规范资金缴纳划拨程序。财政部在中央国库暂存性款项下设置用于流域横向生态保护补偿资金的明细科目，并告知各省出资或受偿金额，出资省在规定时限内按明细科目将应缴纳资金缴入中央国库，财政部及时将资金划拨至受偿省。出资省和受偿省分别通过一般公共预算区域间转移性收支科目下生态保护补偿转移性收支科目，编制预算并进行会计核算，反映缴纳和获得补偿资金情况。 （三）创新资金使用管理措施。补偿资金按规定用于本地区与流域保护相关的自然资源保护、生态环境治理修复、经济社会发展和民生改善等方面。受偿省应创新资金使用管理机制，及时主动通报资金使用管理情况，加强资金使用监管，在规定时限内组织开展项目绩
mof_2025_qa,https://www.mof.gov.cn/jrttts/202506/t20250611_3965448.htm,policy_interpretation,财政部,统一核算与中央国库划拨,2025,https://www.mof.gov.cn/jrttts/202506/t20250611_3965448.htm,html,text/html,ok,,2026-07-27T10:46:27.770071+00:00,财政部有关负责同志就健全横向生态保护补偿机制相关政策文件答记者问,4742,ad74a069cb3046d5d6d25f9f9317ac5a5633ce5e9dd3b46023c29fb5e8512346,热门检索： 财政收支 积极财政政策 减税降费 首页 职能机构 新闻报道 信息公开 政务服务 交流互动 专题专栏 财政视频 您现在的位置： 首页 > 网站信息推送 发布日期：2025年06月05日 2025年6月5日 来源：自然资源和生态环境司 近日，经国务院同意，财政部、生态环境部、国家发展改革委、水利部、国家林草局联合印发《关于进一步健全横向生态保护补偿机制的意见》 （ 以下简称《意见》 ） 和《关于深入推进大江大河干流横向生态保护补偿机制建设的实施方案》 （ 以下简称《实施方案》 ） 。财政部有关负责同志就《意见》和《实施方案》接受采访，回答了记者提问。 一、《意见》和《实施方案》出台的背景是什么？ 答： 习近平总书记高度重视健全横向生态保护补偿机制，强调要完善横向生态保护补偿机制，激发全流域参与生态保护的积极性。党的二十大提出，完善生态保护补偿制度。党的二十届三中全会明确，健全横向生态保护补偿机制。财政部深入学习贯彻习近平总书记重要指示批示精神，积极落实党中央、国务院决策部署，会同有关部门纵深推进横向生态保护补偿机制建设，取得较好成效。一是重点流域横向保护补偿机制建设稳步推进。截至目前，通过政策和资金引导，已推动全国24个省份建立了30个跨省流域横向生态保护补偿机制，江苏、福建、四川、云南等省实现了省内重点流域补偿机制全覆盖，流域联防联控机制不断健全。二是相关政策措施逐步完善。2016年，财政部牵头印发《关于加快建立流域上下游横向生态保护补偿机制的指导意见》，对流域生态补偿基准、方式、标准等重大问题予以明确。此后，又陆续出台支持长江、黄河全流域建立横向生态保护补偿机制相关政策文件。三是机制建设综合效益不断扩大。从实践看，开展机制建设的流域生态环境质量持续向好，重点污染物浓度显著下降，跨界断面水质改善明显，补偿机制的生态效益、经济效益和社会效益不断扩大。 当前，我国经济社会发展已进入加快绿色化、低碳化的高质量发展阶段。同时也要看到，一些地区间横向补偿还面临难点堵点，在补偿协议签订、协议履行等环节需要进一步规范。这就要求建立覆盖更加全面、权责更加清晰、方式更加多元、治理更加高效的横向生态保护补偿机制。 为此，经国务院同意，5部门联合印发《意见》和《实施方案》，明确了新时期横向生态保护补偿机制的工作目标、重点任务和具体措施，明确以地方为主、中央支持引导，坚持“统分结合”并行模式，坚持“谁污染、谁治理，谁保护、谁受益”，加快建立全面覆盖、权责对等、共建共享的横向生态保护补偿模式，高效实现长江黄河全流域建立横向生态补偿机制，促进生态产品供给地与受益地良性互动，让保护者、贡献者得到实惠，促进区域间良性互动和高质量发展，建设人与自然和谐共生的现代化。 二、《意见》和《实施方案》两个文件是什么关系？各自内容有什么特点 ？ 答： 《意见》和《实施方案》相互联系、各有侧重，《意见》作为新阶段横向生态保护补偿机制顶层设计的制度文件，主要对补偿机制的工作目标、重点任务和具体措施作出系统部署；《实施方案》作为落实《意见》的重要举措，主要明确中央层面组织协调在长江、黄河等重点流域干流建立统一的横向生态保护补偿机制。 《意见》要求，深入践行习近平生态文明思想，推动建立覆盖更加全面、权责更加明晰、方式更加多元、治理更加高效的横向生态保护补偿机制。明确中央层面统一建立大江大河干流补偿机制、地方层面自主深化重点流域补偿机制建设。同时，从拓展补偿领域、丰富补偿要素、完善补偿标准、创新补偿形式、夯实平台支撑等方面，对地方省际间自主协商建立的机制作了细化要求。 《实施方案》主要包括
mof_2023_settlement,https://zyhj.mof.gov.cn/zxzyzf/swrfzzj/202307/P020230718401429437562.pdf,central_settlement,财政部,流域横向生态保护补偿机制建设资金清算奖励,2023,https://zyhj.mof.gov.cn/zxzyzf/swrfzzj/202307/P020230718401429437562.pdf,pdf,application/pdf,ok,,2026-07-27T10:46:27.770071+00:00,,318,39ce268a392f2e59dfe02840e59d8d3da31ea31b476585033b8e80409f57abd3,附件2 流域横向生态保护补偿机制建设资金清算奖励表 单位：万元 序号 地区 长江流域引导 资金清算 黄河流域引导 资金清算 其他流域机制 建设奖励 备注 1 河北 20000 潮白河 2 上海 -913 3 江苏 -1405 4 浙江 -1055 5 安徽 -3171 6 福建 -63 7 河南 -568 8 湖南 240 酉水 9 广东 -5 10 广西 -213 11 重庆 3359 长江干流（川渝段）、 濑溪河、酉水 12 四川 3034 长江干流（川渝段）、 濑溪河、赤水河 13 贵州 1536 赤水河 14 云南 1152 赤水河 15 西藏 -130 16 陕西 -1123 17 甘肃 -217 18 青海 -458
jiangsu_2022_suwan_consultation,https://czt.jiangsu.gov.cn/art/2022/10/14/art_8065_10629133.html,bilateral_consultation,江苏省财政厅,苏皖长江干流,2022,https://czt.jiangsu.gov.cn/art/2022/10/14/art_8065_10629133.html,html,text/html,ok,,2026-07-27T10:46:27.770071+00:00,江苏省财政厅 财政要闻 苏皖两省座谈会商推进长江流域横向生态保护补偿机制,569,7baa4857bd7331ee9ff2850d0591cd202f7a77d8bc4d94656ef48c50a76d2c36,当前位置： 网站首页 > 资讯中心 > 财政要闻 近日，苏皖两省财政厅、生态环境厅在南京联合召开工作座谈会，就建立健全长江流域横向生态保护补偿机制进行深入交流讨论。两省财政和生态环境部门分管领导及相关处室负责人参加座谈。 为贯彻落实《中华人民共和国长江保护法》，深入推进长江全流域建立横向生态保护补偿机制，进一步健全共抓大保护的工作格局，按照财政部、生态环境部、水利部、国家林业和草原局《支持长江全流域建立横向生态保护补偿机制的实施方案》有关要求，苏皖两省在“十三五”长江重要支流滁河生态保护补偿机制建设的基础上，积极开展协商，探索建立长江干流跨省横向生态保护补偿机制，目前已达成基本共识。 座谈会上，苏皖两省财政和生态环境部门按照“权责对等，双向补偿”的原则，在充分考虑流域上下游共同利益的基础上，分别就协议条款交流了看法，提出了思路建议，在共同推进长江流域横向生态保护补偿机制建设方面求同存异，进一步达成共识。 深入推进长江全流域建立横向生态保护补偿机制，进一步健全共抓大保护的工作格局，既是两省共同使命，也是重要机遇。下一步，苏皖两省将按照此次座谈会达成的共识，继续加强沟通交流，深化合作机制，加快“长效版、拓展版、推广版”的新一轮苏皖长江流域横向生态保护补偿机制建设，争取为推进长江全流域横向生态保护补偿机制建设提供“苏皖经验”。
jiangsu_2023_suwan_agreement,https://czt.jiangsu.gov.cn/art/2023/12/18/art_7938_11102476.html,bilateral_agreement,江苏省财政厅,苏皖长江流域,2023,https://czt.jiangsu.gov.cn/art/2023/12/18/art_7938_11102476.html,html,text/html,ok,,2026-07-27T10:46:27.770071+00:00,江苏省财政厅 江苏财政 苏皖两省签署新一轮长江流域跨省生态保护补偿机制合作协议,897,65f53b9c05214e8e3f717ac2494f7806932682eaa7e678c5747c5b0b4adff3bd,当前位置： 网站首页 > 资讯中心 > 江苏财政 为深入贯彻落实习近平总书记在进一步推动长江经济带高质量发展座谈会和深入推进长三角一体化发展座谈会上的讲话精神，推进完善生态保护补偿制度和生态产品价值实现机制，探索生态优势转化为经济优势的路径，近日，苏皖两省正式签署新一轮长江流域跨省生态保护补偿机制合作协议。 相比上一轮协议，新一轮协议更加体现了“三个并重”。一是进一步体现了长江干流和长江支流并重。将苏皖跨界的长江干流乌江（左岸）断面和三兴村（右岸）断面、长江一级支流滁河陈浅断面同时作为考核断面，实现了长江干流和支流全覆盖。二是进一步体现了资金补偿和深度合作并重。从单一的资金补偿逐渐向资金补偿、产业共谋、规划协商等流域保护多措并举的深度合作转变，初步形成多元化生态补偿格局。三是进一步体现了受益补偿与污染赔偿并重。以补偿基准高于国家水质目标要求为准绳，重点关注对长江水质影响较大的高锰酸盐指数、氨氮、总磷三个指标，建立双向生态补偿机制，切实做到保护者获益、污染者付费。 苏皖两省同处长江经济带和长三角区域，新一轮合作协议的签订既是两省深化生态保护补偿合作机制的务实举措，也是两省推动长江经济带高质量发展、推动长三角一体化发展的创新探索。协议的签订将有助于苏皖两省进一步加强在长江流域生态环境共保联治上的深度合作，探索生态产品价值实现路径，协同构建共商共管的格局，推进生态环境高水平保护和经济社会高质量发展。 建立长江流域跨省生态保护补偿机制，是推动长江经济带高质量发展的重要路径，也是推进长三角一体化生态环境共保联治的重要手段。2018年，江苏和安徽两省率先签署合作协议，在长江一级支流——苏皖跨界滁河建立了横向生态保护补偿机制，在实践中探索生态优势转化为经济优势的路径，实现生态效益和经济效益双赢。为深入贯彻落实《中华人民共和国长江保护法》，推进长江全流域建立横向生态保护补偿机制，真正让保护者、贡献者得到实惠，在财政部、生态环境部等国家部委的指导推动下，苏皖两省再一次凝聚共识，求同存异，围绕“共抓大保护、不搞大开发”积极开展协商，成功签订新一轮长江流域跨省生态保护补偿机制合作协议。
shanghai_2025_husu_consultation,https://czj.sh.gov.cn/zys_8908/xwzx_8909/czyw/20250416/xxfbinfo0000013704.html,bilateral_consultation,上海市财政局,沪苏长江干流及太浦河,2025,https://czj.sh.gov.cn/zys_8908/xwzx_8909/czyw/20250416/xxfbinfo0000013704.html,html,text/html; charset=utf-8,ok,,2026-07-27T10:46:27.770071+00:00,沪苏相关部门会商长江干流及太浦河流域横向生态保护补偿机制有关工作,312,65d84de9c63ba4c7a151ae3f322326f1da4ffb306bc28f1aa425c69e3fd062c7,首页 / 新闻中心 / 财政要闻 近日，市财政局资环处会同市发展改革委环资处、市生态环境局水处、市水务局财务处赴江苏省财政厅就长江干流及太浦河流域横向生态保护补偿机制开展会商，江苏省相关部门参与会商。 会上，双方详细阐述了各自对长江干流及太浦河流域横向生态保护补偿机制的主要考虑和核心诉求，并进行了诚恳磋商，达成两点共识： 一是双方一致同意加快落实国家关于深入推进大江大河干流横向生态保护补偿机制建设的要求，借鉴苏皖长江干流横向补偿协议的模式，以长江浏河国考断面为监测点，推动建立沪苏间长江干流横向生态保护补偿机制。 二是双方同意就建立太浦河流域横向生态保护补偿机制相关工作继续保持紧密沟通，共同推进，争取早日建立补偿机制。
chongqing_2025_cross_province,https://czj.cq.gov.cn/zwxx_268/czdt/bmdt_31579/202501/t20250123_14204334_wap.html,agreement_summary,重庆市财政局,川渝、渝鄂、渝黔跨省机制,2025,https://czj.cq.gov.cn/zwxx_268/czdt/bmdt_31579/202501/t20250123_14204334_wap.html,html,text/html,ok,,2026-07-27T10:46:27.770071+00:00,重庆市全面建立横向生态保护补偿机制,1877,c3dec780a28b5c179e61c86957833bab4b60b1a262882831d8aa1b892a771893,首页 政务公开 办事服务 互动交流 专题栏目 重庆市全面建立横向生态保护补偿机制 近日，重庆市与四川省、贵州省签署流域横向生态保护补偿协议，这是继 2024 年 6 月与湖北省签署长江流域渝鄂横向生态保护补偿协议以来，在机制建立上的重大突破，标志着重庆在全国率先实现了补偿机制在长江干流全线贯通、在嘉陵江、乌江等重要支流全面覆盖，川、渝、鄂、黔、湘五省市协作共治，共同筑牢长江上游重要生态屏障。 横向生态保护补偿是进一步深化生态文明体制改革的重大制度安排， 2024 年 6 月 1 日起施行的《生态保护补偿条例》，为开展地区间横向生态保护补偿工作提供了法治保障。党的二十届三中全会提出，“健全生态环境治理体系，推动重要流域构建上下游贯通一体的生态环境治理体系”。按照 “ 保护者得益、损害者赔偿 ” 的基本原则，充分调动流域上下游地区污染防治的积极性，形成流域系统化保护工作格局，全面推进流域生态环境质量改善。重庆作为西部陆海新通道、中欧班列、长江黄金水道交汇之地，既要发挥枢纽通道优势助推高质量发展，更要牢记习近平总书记“保护好三峡库区和长江母亲河，筑牢长江上游重要生态屏障”的殷殷嘱托，肩负起流域水生态环境保护的重大使命和责任。从 2018 年开始，重庆市在 “ 市内补偿 ” 和 “ 跨省补偿 ” 两个方面共同发力，着力建机制、强意识、担责任。 在市内，“两步走”推动市内补偿机制迭代升级 。 2018 年，重庆市政府印发《重庆市建立流域横向生态保护补偿机制实施方案（试行）》，推动 市内流域面积 500 平方公里以上且跨区县的 19 条重要河流全面建立跨区县的横向补偿机制。在首轮改革基础上，市财政局进一步深化补偿制度改革创新， 2023 年，顺应水环境质量管理目标从“改善提升”转变为“保持向好 ” 的工作要求，重庆市印发《重庆市深化市内流域横向生态保护补偿机制实施方案》，在补偿模式、补偿标准和补偿基准上进一步量体裁衣、优化机制。 对市外，“两手抓”推动跨省补偿机制拓面增效。 一手抓“机制拓面”，在与四川省、湖南省签订长江干流、濑溪河、酉水河补偿协议基础上， 2024 年，重庆市与湖北省、四川省、贵州省全面签署《长江流域川渝第二轮横向生态保护补偿协议》《长江流域渝鄂段横向生态保护补偿协议》和《乌江流域渝黔横向生态保护补偿协议》，长江干流重庆段实现四川—重庆—湖北流域横向生态保护补偿机制“全线贯通”，川渝嘉陵江流域、渝黔乌江流域，以及前河、阿蓬江等重要支流新增纳入补偿范围。 一手抓“精准科学”，因地制宜选取水生态环境要素指标，提升补偿机制的针对性和有效性。例如，与贵州省签署的乌江流域补偿协议中，双方统筹乌江流域“高水平保护”与贵州磷化工支柱产业“高质量发展”，将“总磷”作为核心补偿指标，以总磷年均值 0.05mg/L 为限实施双向补偿。与四川省签署的长江流域第二轮补偿协议中，将生态流量、自然岸线率、鱼类多样性等全面反映水生态环境的指标纳入补偿机制范围，补偿与受偿不再依据水质“单科成绩”，而是水生态“综合得分”。 近年来，重庆市纵深推进流域横向生态保护补偿机制改革，取得明显实效。 全市水环境质量整体性改善。 长江、嘉陵江、乌江重庆段水质达到 Ⅱ 类的断面比例逐年上升， 2023 — 2024 年，全市 74 个国控考核断面水质优良比例稳定在 100% ，高于国家考核目标 2.7 个百分点。 实现三个 “ 率先 ” ，在全国形成示范效应。 市内流域面积 500 平方公里以上且跨区县的 19 条重要河流（涉及 33 个区县）先后都建立了补偿机制，在全国范围内率先实现全
mof_2023_settlement_notice,https://zyhj.mof.gov.cn/zxzyzf/swrfzzj/202307/t20230718_3896907.htm,central_settlement_notice,财政部,2023年流域横向生态补偿清算奖励,2023,https://zyhj.mof.gov.cn/zxzyzf/swrfzzj/202307/t20230718_3896907.htm,html,text/html,ok,,2026-07-27T10:46:27.770071+00:00,财政部关于下达2023年水污染防治资金预算（第二批）的通知,1243,552e81f77169d4e5453c4982400d225aa14db785a7cda947824c736abc589069,"财政部微信 财政部视频号 财政部 官方抖音号 移动客户端 Android下载 移动客户端 iphone下载 2017年11月21日 星期二 自然资源和生态环境司 自然资源和生态环境司 当前位置： 首页 > 专项转移支付 > 水污染防治资金 财资环〔202 3 〕 35 号 各省、自治区、直辖市财政厅(局),新疆生产建设兵团财政局: 为促进水环境质量改善,加快推进水污染防治工作,现下达你省 ( 自治区、直辖市 、新疆生产建设兵团, 以下 统 称省)202 3 年水污染防治资金(第二批),用于 支持水污染防治和水生态环境保护 等 方面 工作,并就有关事项通知如下: 一、各省安排金额见附件1,项目代码: 10000015 Z155110010004,支出列202 3 年政府收支分类科目“211 节能环保支出”。 二、各省要按照《财政部关于印发<水污染防治资金管理办法>的通知》(财资环〔20 21 〕 36 号) 有关 规定,加强资金管理,专款专用,切实提高资金使用效益。 落实 生态环保项目储备制度 有关要求, 按照“资金跟着项目走”的原则,做好项目储备工作,尽快形成有效投资,避免“资金等项目”。对已从中央基建投资等其他渠道获得中央财政资金支持的项目,不得纳入防治资金支持范围。 三 、 此次下达资金对建立起 横向生态 保护 补偿 机制且完成年度清算的 重庆 市、 四川 省 、贵州 省 、云南 省、湖南省分别 给予奖励,奖励资金从其他未建立起机制的省份中扣减。同时,对湖南省、湖北省签订 长江干流鄂湘段补偿协议,湖北省、江西省签订渌水流域补偿协议,积极推动流域横向生态保护补偿机制建设给予肯定和鼓励,后续将视省级资金清算情况进行奖励支持。 各省要按照相关文件 要求,积极主动开展合作,加快与邻近省建立机制 ,已获得奖励资金的省份要推动建立长效机制 。 四 、 各地 要强化绩效结果应用,中央财政在分配资金时,对 审计和监督检查发现问题、 绩效 评价结果差、 预算支出进展慢的省份作了适当扣减, 请你省在分配资金时,比照中央财政的做法,加强绩效评价结果应用,突出奖优罚劣,切实提高财政资金效益。 附件: 1.202 3 年水污染防治资金 预算 (第二批)安排表 2.流域横向生态保护补偿机制建设资金清算奖励表 3.资金和项目使用管理情况调整表 4.2023年 水污染防治资金区域绩效目标表(分发地方) 财 政 部 2023 年 6 月 11 日 附件下载： 附件1.2023年水污染防治资金预算（第二批）安排表.pdf 附件2.流域横向生态保护补偿机制建设资金清算奖励表.pdf 附件3.资金和项目使用管理情况调整表.pdf 相关文章： 网站地图 联系我们 主办单位：中华人民共和国财政部 网站标识码：bm14000001 京ICP备05002860号 京公网安备11010202000006号 技术支持：财政部信息网络中心 中华人民共和国财政部 版权所有，如需转载，请注明来源"
mof_2024_settlement_notice,https://zyhj.mof.gov.cn/zxzyzf/swrfzzj/202407/t20240705_3938862.htm,central_settlement_notice,财政部,2024年流域横向生态补偿清算奖励,2024,https://zyhj.mof.gov.cn/zxzyzf/swrfzzj/202407/t20240705_3938862.htm,html,text/html,ok,,2026-07-27T10:46:27.770071+00:00,财政部关于下达2024年水污染防治资金预算（第二批）的通知,1205,9355aee031d3c65b818a6256789c3272046672ccbde3957b2b649d1e39b9b20d,财政部微信 财政部视频号 财政部 官方抖音号 移动客户端 Android下载 移动客户端 iphone下载 2017年11月21日 星期二 自然资源和生态环境司 自然资源和生态环境司 当前位置： 首页 > 专项转移支付 > 水污染防治资金 各省、自治区、直辖市、计划单列市财政厅（局），新疆生产建设兵团财政局 ： 为促进水环境质量改善，加快推进水污染防治工作，现下达你省 （ 自治区、直辖市 、新疆生产建设兵团、计划单列市， 以下 统 称省）202 4 年水污染防治资金（第二批），用于 支持水污染防治和水生态环境保护 等 方面 工作，并就有关事项通知如下： 一、 各省安排金额见附件1，项目代码: 10000015 Z155110010004，支出列202 4 年政府收支分类科目“211 节能环保支出”。 二、各省要按照《财政部关于印发<水污染防治资金管理办法>的通知》（财资环〔20 21 〕 36 号） 有关 规定，加强资金管理，专款专用，切实提高资金使用效益。 落实 生态环保项目储备制度 有关要求， 按照“资金跟着项目走”的原则，做好项目储备工作，尽快形成有效投资，避免“资金等项目”。对已从中央基建投资等其他渠道获得中央财政资金支持的项目，不得纳入防治资金支持范围。 三 、 此次下达资金对建立起 横向生态 保护 补偿 机制且完成年度清算的 四川 省 、重庆 市 、湖北 省 、湖南 省 、江西 省 、安徽 省 、江苏 省分别 给予奖励，奖励资金从其他未建立起机制的省份中扣减。同时，对河北省、北京市签订潮白河流域补偿协议 ，积极推动流域横向生态保护补偿机制建设给予肯定和鼓励，后续将视省级资金清算情况进行奖励支持。 各省要按照相关文件 要求，积极主动开展合作，加快与邻近省建立机制 ，已获得奖励资金的省份要推动建立长效机制 。 四 、 各地 要强化绩效结果应用，中央财政在分配资金时，对 审计和监督检查发现问题、 绩效 评价结果差、 预算支出进展慢的省份作了适当扣减， 请你省在分配资金时，比照中央财政的做法，加强绩效评价结果应用，突出奖优罚劣，切实提高财政资金效益。 附件: 1.202 4 年水污染防治资金 预算 （第二批）安排表 2.流域横向生态保护补偿机制建设资金清算奖励表 3.资金和项目使用管理情况调整表 财 政 部 2024 年 6 月 10 日 附件下载： 附件1：2024年水污染防治资金预算（第二批）安排表.pdf 附件2：流域横向生态保护补偿机制建设资金清算奖励表.pdf 附件3：资金和项目使用管理情况调整表.pdf 相关文章： 网站地图 联系我们 主办单位：中华人民共和国财政部 网站标识码：bm14000001 京ICP备05002860号 京公网安备11010202000006号 技术支持：财政部信息网络中心 中华人民共和国财政部 版权所有，如需转载，请注明来源
