province,payer_years,recipient_years,sign_changes,value_2010,value_2015,value_2020,change_2010_2020,mean_value
上海,3,0,0,-321.18,-101.59,-146.47,174.71,-189.747
云南,3,0,0,-0.8,-0.89,-3.27,-2.47,-1.653
四川,1,2,2,0.75,-0.45,1.35,0.6,0.55
安徽,2,1,1,-47.38,-35.26,1.57,48.95,-27.023
广东,0,3,0,0.005,0.01,0.005,0.0,0.007
广西,0,3,0,0.58,2.02,1.2,0.62,1.267
江苏,3,0,0,-2165.8,-894.39,-1412.13,753.67,-1490.773
江西,0,3,0,72.93,116.07,32.27,-40.66,73.757
河南,3,0,0,-3.73,-261.56,-224.58,-220.85,-163.29
浙江,3,0,0,-17.37,-0.34,-17.14,0.23,-11.617
湖北,2,1,1,-65.58,-314.24,25.91,91.49,-117.97
湖南,0,3,0,7.7,45.88,21.91,14.21,25.163
甘肃,1,2,2,0.25,-3.82,2.6,2.35,-0.323
福建,0,3,0,0.005,0.01,0.005,0.0,0.007
西藏,0,3,0,45.46,61.33,67.09,21.63,57.96
贵州,1,2,1,-0.09,5.11,6.09,6.18,3.703
重庆,2,1,1,-15.95,-13.02,6.25,22.2,-7.573
陕西,2,1,1,3.01,-3.33,-2.13,-5.14,-0.817
青海,0,3,0,109.84,201.59,195.65,85.81,169.027
