province,year,ecological_overload_coefficient,compensation_correction_coefficient,theoretical_compensation_100m_cny,value_text,censor_flag,role,source_id,source_table
安徽,2010,0.65,0.39,-47.38,-47.38,,payer,paper_2025_yangtze_water_compensation,Table 5
福建,2010,0.95,0.34,0.005,<0.01,left_censored_0.01,recipient,paper_2025_yangtze_water_compensation,Table 5
甘肃,2010,0.79,0.41,0.25,0.25,,recipient,paper_2025_yangtze_water_compensation,Table 5
广东,2010,0.89,0.35,0.005,<0.01,left_censored_0.01,recipient,paper_2025_yangtze_water_compensation,Table 5
广西,2010,0.87,0.33,0.58,0.58,,recipient,paper_2025_yangtze_water_compensation,Table 5
贵州,2010,0.77,0.34,-0.09,-0.09,,payer,paper_2025_yangtze_water_compensation,Table 5
河南,2010,0.72,0.46,-3.73,-3.73,,payer,paper_2025_yangtze_water_compensation,Table 5
湖北,2010,0.70,0.36,-65.58,-65.58,,payer,paper_2025_yangtze_water_compensation,Table 5
湖南,2010,0.79,0.34,7.70,7.70,,recipient,paper_2025_yangtze_water_compensation,Table 5
江苏,2010,-3.14,0.42,-2165.80,-2165.80,,payer,paper_2025_yangtze_water_compensation,Table 5
江西,2010,0.92,0.34,72.93,72.93,,recipient,paper_2025_yangtze_water_compensation,Table 5
青海,2010,0.92,0.39,109.84,109.84,,recipient,paper_2025_yangtze_water_compensation,Table 5
陕西,2010,0.87,0.45,3.01,3.01,,recipient,paper_2025_yangtze_water_compensation,Table 5
四川,2010,0.82,0.33,0.75,0.75,,recipient,paper_2025_yangtze_water_compensation,Table 5
西藏,2010,0.97,0.27,45.46,45.46,,recipient,paper_2025_yangtze_water_compensation,Table 5
云南,2010,0.68,0.32,-0.80,-0.80,,payer,paper_2025_yangtze_water_compensation,Table 5
浙江,2010,0.64,0.48,-17.37,-17.37,,payer,paper_2025_yangtze_water_compensation,Table 5
上海,2010,-7.08,0.46,-321.18,-321.18,,payer,paper_2025_yangtze_water_compensation,Table 5
重庆,2010,0.61,0.41,-15.95,-15.95,,payer,paper_2025_yangtze_water_compensation,Table 5
安徽,2015,0.66,0.47,-35.26,-35.26,,payer,paper_2025_yangtze_water_compensation,Table 5
福建,2015,0.92,0.46,0.01,0.01,,recipient,paper_2025_yangtze_water_compensation,Table 5
甘肃,2015,0.49,0.54,-3.82,-3.82,,payer,paper_2025_yangtze_water_compensation,Table 5
广东,2015,0.92,0.43,0.01,0.01,,recipient,paper_2025_yangtze_water_compensation,Table 5
广西,2015,0.95,0.47,2.02,2.02,,recipient,paper_2025_yangtze_water_compensation,Table 5
贵州,2015,0.83,0.51,5.11,5.11,,recipient,paper_2025_yangtze_water_compensation,Table 5
河南,2015,-1.99,0.62,-261.56,-261.56,,payer,paper_2025_yangtze_water_compensation,Table 5
湖北,2015,0.51,0.55,-314.24,-314.24,,payer,paper_2025_yangtze_water_compensation,Table 5
湖南,2015,0.79,0.53,45.88,45.88,,recipient,paper_2025_yangtze_water_compensation,Table 5
江苏,2015,-0.43,0.59,-894.39,-894.39,,payer,paper_2025_yangtze_water_compensation,Table 5
江西,2015,0.89,0.48,116.07,116.07,,recipient,paper_2025_yangtze_water_compensation,Table 5
青海,2015,0.90,0.60,201.59,201.59,,recipient,paper_2025_yangtze_water_compensation,Table 5
陕西,2015,0.65,0.64,-3.33,-3.33,,payer,paper_2025_yangtze_water_compensation,Table 5
四川,2015,0.71,0.42,-0.45,-0.45,,payer,paper_2025_yangtze_water_compensation,Table 5
西藏,2015,0.96,0.29,61.33,61.33,,recipient,paper_2025_yangtze_water_compensation,Table 5
云南,2015,0.67,0.50,-0.89,-0.89,,payer,paper_2025_yangtze_water_compensation,Table 5
浙江,2015,0.73,0.59,-0.34,-0.34,,payer,paper_2025_yangtze_water_compensation,Table 5
上海,2015,-1.29,0.57,-101.59,-101.59,,payer,paper_2025_yangtze_water_compensation,Table 5
重庆,2015,0.61,0.43,-13.02,-13.02,,payer,paper_2025_yangtze_water_compensation,Table 5
安徽,2020,0.82,0.50,1.57,1.57,,recipient,paper_2025_yangtze_water_compensation,Table 5
福建,2020,0.85,0.50,0.005,<0.01,left_censored_0.01,recipient,paper_2025_yangtze_water_compensation,Table 5
甘肃,2020,0.96,0.60,2.60,2.60,,recipient,paper_2025_yangtze_water_compensation,Table 5
广东,2020,0.91,0.49,0.005,<0.01,left_censored_0.01,recipient,paper_2025_yangtze_water_compensation,Table 5
广西,2020,0.94,0.48,1.20,1.20,,recipient,paper_2025_yangtze_water_compensation,Table 5
贵州,2020,0.88,0.56,6.09,6.09,,recipient,paper_2025_yangtze_water_compensation,Table 5
河南,2020,-0.99,0.66,-224.58,-224.58,,payer,paper_2025_yangtze_water_compensation,Table 5
湖北,2020,0.84,0.57,25.91,25.91,,recipient,paper_2025_yangtze_water_compensation,Table 5
湖南,2020,0.84,0.59,21.91,21.91,,recipient,paper_2025_yangtze_water_compensation,Table 5
江苏,2020,-0.90,0.65,-1412.13,-1412.13,,payer,paper_2025_yangtze_water_compensation,Table 5
江西,2020,0.86,0.53,32.27,32.27,,recipient,paper_2025_yangtze_water_compensation,Table 5
青海,2020,0.97,0.62,195.65,195.65,,recipient,paper_2025_yangtze_water_compensation,Table 5
陕西,2020,0.76,0.65,-2.13,-2.13,,payer,paper_2025_yangtze_water_compensation,Table 5
四川,2020,0.87,0.45,1.35,1.35,,recipient,paper_2025_yangtze_water_compensation,Table 5
西藏,2020,0.98,0.44,67.09,67.09,,recipient,paper_2025_yangtze_water_compensation,Table 5
云南,2020,0.61,0.57,-3.27,-3.27,,payer,paper_2025_yangtze_water_compensation,Table 5
浙江,2020,0.73,0.62,-17.14,-17.14,,payer,paper_2025_yangtze_water_compensation,Table 5
上海,2020,-1.59,0.69,-146.47,-146.47,,payer,paper_2025_yangtze_water_compensation,Table 5
重庆,2020,0.86,0.49,6.25,6.25,,recipient,paper_2025_yangtze_water_compensation,Table 5
