province,year,status,manual_task,target_income_account,target_expenditure_account,do_not_substitute
上海,2024,source_not_yet_located,查找并下载2024年省级一般公共预算收支决算平衡表,1102102 生态保护补偿转移性收入,2302102 生态保护补偿转移性支出,重点生态功能区转移支付|节能环保支出|中央引导奖励
江苏,2024,source_not_yet_located,查找并下载2024年省级一般公共预算收支决算平衡表,1102102 生态保护补偿转移性收入,2302102 生态保护补偿转移性支出,重点生态功能区转移支付|节能环保支出|中央引导奖励
浙江,2024,source_not_yet_located,查找并下载2024年省级一般公共预算收支决算平衡表,1102102 生态保护补偿转移性收入,2302102 生态保护补偿转移性支出,重点生态功能区转移支付|节能环保支出|中央引导奖励
安徽,2024,source_not_yet_located,查找并下载2024年省级一般公共预算收支决算平衡表,1102102 生态保护补偿转移性收入,2302102 生态保护补偿转移性支出,重点生态功能区转移支付|节能环保支出|中央引导奖励
江西,2024,source_not_yet_located,查找并下载2024年省级一般公共预算收支决算平衡表,1102102 生态保护补偿转移性收入,2302102 生态保护补偿转移性支出,重点生态功能区转移支付|节能环保支出|中央引导奖励
湖北,2024,source_not_yet_located,查找并下载2024年省级一般公共预算收支决算平衡表,1102102 生态保护补偿转移性收入,2302102 生态保护补偿转移性支出,重点生态功能区转移支付|节能环保支出|中央引导奖励
湖南,2024,needs_detail_table,已取得混合区域间转移性支出，需拆分救灾与生态补偿,1102102 生态保护补偿转移性收入,2302102 生态保护补偿转移性支出,重点生态功能区转移支付|节能环保支出|中央引导奖励
重庆,2024,render_blocked,已定位2024年决算页面，需手动下载附件PDF,1102102 生态保护补偿转移性收入,2302102 生态保护补偿转移性支出,重点生态功能区转移支付|节能环保支出|中央引导奖励
四川,2024,complete,已取得生态保护补偿转移性收入和支出决算数,1102102 生态保护补偿转移性收入,2302102 生态保护补偿转移性支出,重点生态功能区转移支付|节能环保支出|中央引导奖励
云南,2024,source_not_yet_located,查找并下载2024年省级一般公共预算收支决算平衡表,1102102 生态保护补偿转移性收入,2302102 生态保护补偿转移性支出,重点生态功能区转移支付|节能环保支出|中央引导奖励
贵州,2024,source_not_yet_located,查找并下载2024年省级一般公共预算收支决算平衡表,1102102 生态保护补偿转移性收入,2302102 生态保护补偿转移性支出,重点生态功能区转移支付|节能环保支出|中央引导奖励
