province,year,inflow_10k_cny,outflow_10k_cny,net_inflow_10k_cny,inflow_method,outflow_method,inflow_sources,outflow_sources,verified_inflow_lower_bound_10k_cny,verified_outflow_lower_bound_10k_cny,outflow_mixed_upper_bound_10k_cny,observed_directions,coverage_status,analysis_ready_complete_case
上海,2018,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
上海,2019,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
上海,2020,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
上海,2021,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
上海,2022,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
上海,2023,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
上海,2024,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
江苏,2018,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
江苏,2019,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
江苏,2020,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
江苏,2021,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
江苏,2022,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
江苏,2023,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
江苏,2024,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
浙江,2018,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
浙江,2019,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
浙江,2020,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
浙江,2021,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
浙江,2022,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
浙江,2023,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
浙江,2024,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
安徽,2018,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
安徽,2019,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
安徽,2020,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
安徽,2021,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
安徽,2022,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
安徽,2023,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
安徽,2024,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
江西,2018,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
江西,2019,600.0,,,sum_verified_bilateral_actual_events,missing_not_zero,hunan_2022_crossprovince_payments,,600.0,0.0,,1,one_direction_observed,no
江西,2020,1200.0,,,sum_verified_bilateral_actual_events,missing_not_zero,hunan_2022_crossprovince_payments,,1200.0,0.0,,1,one_direction_observed,no
江西,2021,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
江西,2022,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
江西,2023,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
江西,2024,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
湖北,2018,,,,missing_not_zero,missing_not_zero,,,0.0,0.0,,0,missing_not_zero,no
