variable,conceptual_block,unit,target_observations,observed_values,missing_values,preferred_sources,collection_status
population_10k,benefit,万人,110,0,110,nbs_yearbook,source_located_values_pending
gdp_100m_cny,payment_capacity,亿元,110,0,110,nbs_yearbook,source_located_values_pending
secondary_industry_share_pct,pressure,%,110,0,110,nbs_yearbook,source_located_values_pending
general_budget_revenue_100m_cny,payment_capacity,亿元,110,0,110,nbs_yearbook,source_located_values_pending
water_resources_100m_m3,contribution,亿立方米,110,0,110,nbs_yearbook|mwr_water_bulletin,source_located_values_pending
water_supply_100m_m3,benefit,亿立方米,110,0,110,nbs_yearbook|mwr_water_bulletin,source_located_values_pending
water_use_100m_m3,benefit,亿立方米,110,0,110,nbs_yearbook|mwr_water_bulletin,source_located_values_pending
wastewater_discharge_10k_t,pressure,万吨,110,0,110,nbs_yearbook|mee_environment_yearbook,source_located_values_pending
cod_discharge_t,pressure,吨,110,0,110,nbs_yearbook|mee_environment_yearbook,source_located_values_pending
ammonia_nitrogen_discharge_t,pressure,吨,110,0,110,nbs_yearbook|mee_environment_yearbook,source_located_values_pending
forest_coverage_pct,contribution,%,110,0,110,nbs_yearbook,source_located_values_pending
environmental_investment_100m_cny,protection_cost,亿元,110,0,110,nbs_yearbook|mee_environment_yearbook,source_located_values_pending
surface_water_good_section_pct,contribution,%,110,0,110,mee_surface_water,source_located_values_pending
