province,year,basin_position_group,ecological_overload_coefficient,compensation_correction_coefficient,theoretical_compensation_100m_cny,payer_dummy,recipient_dummy,absolute_compensation_100m_cny,value_status,interpolation_left_year,interpolation_right_year,source_id
上海,2010,lower,-7.08,0.46,-321.18,1,0,321.18,observed_published_anchor,2010,2010,paper_2025_yangtze_water_compensation_table5
上海,2011,lower,-5.922,0.482,-277.262,1,0,277.262,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
上海,2012,lower,-4.764,0.504,-233.344,1,0,233.344,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
上海,2013,lower,-3.606,0.526,-189.426,1,0,189.426,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
上海,2014,lower,-2.448,0.548,-145.508,1,0,145.508,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
上海,2015,lower,-1.29,0.57,-101.59,1,0,101.59,observed_published_anchor,2015,2015,paper_2025_yangtze_water_compensation_table5
上海,2016,lower,-1.35,0.594,-110.566,1,0,110.566,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
上海,2017,lower,-1.41,0.618,-119.542,1,0,119.542,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
上海,2018,lower,-1.47,0.642,-128.518,1,0,128.518,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
上海,2019,lower,-1.53,0.666,-137.494,1,0,137.494,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
上海,2020,lower,-1.59,0.69,-146.47,1,0,146.47,observed_published_anchor,2020,2020,paper_2025_yangtze_water_compensation_table5
江苏,2010,lower,-3.14,0.42,-2165.8,1,0,2165.8,observed_published_anchor,2010,2010,paper_2025_yangtze_water_compensation_table5
江苏,2011,lower,-2.598,0.454,-1911.518,1,0,1911.518,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
江苏,2012,lower,-2.056,0.488,-1657.236,1,0,1657.236,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
江苏,2013,lower,-1.514,0.522,-1402.954,1,0,1402.954,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
江苏,2014,lower,-0.972,0.556,-1148.672,1,0,1148.672,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
江苏,2015,lower,-0.43,0.59,-894.39,1,0,894.39,observed_published_anchor,2015,2015,paper_2025_yangtze_water_compensation_table5
江苏,2016,lower,-0.524,0.602,-997.938,1,0,997.938,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
江苏,2017,lower,-0.618,0.614,-1101.486,1,0,1101.486,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
江苏,2018,lower,-0.712,0.626,-1205.034,1,0,1205.034,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
江苏,2019,lower,-0.806,0.638,-1308.582,1,0,1308.582,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
江苏,2020,lower,-0.9,0.65,-1412.13,1,0,1412.13,observed_published_anchor,2020,2020,paper_2025_yangtze_water_compensation_table5
浙江,2010,lower,0.64,0.48,-17.37,1,0,17.37,observed_published_anchor,2010,2010,paper_2025_yangtze_water_compensation_table5
浙江,2011,lower,0.658,0.502,-13.964,1,0,13.964,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
浙江,2012,lower,0.676,0.524,-10.558,1,0,10.558,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
浙江,2013,lower,0.694,0.546,-7.152,1,0,7.152,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
浙江,2014,lower,0.712,0.568,-3.746,1,0,3.746,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
浙江,2015,lower,0.73,0.59,-0.34,1,0,0.34,observed_published_anchor,2015,2015,paper_2025_yangtze_water_compensation_table5
浙江,2016,lower,0.73,0.596,-3.7,1,0,3.7,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
浙江,2017,lower,0.73,0.602,-7.06,1,0,7.06,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
浙江,2018,lower,0.73,0.608,-10.42,1,0,10.42,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
浙江,2019,lower,0.73,0.614,-13.78,1,0,13.78,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
浙江,2020,lower,0.73,0.62,-17.14,1,0,17.14,observed_published_anchor,2020,2020,paper_2025_yangtze_water_compensation_table5
安徽,2010,lower,0.65,0.39,-47.38,1,0,47.38,observed_published_anchor,2010,2010,paper_2025_yangtze_water_compensation_table5
安徽,2011,lower,0.652,0.406,-44.956,1,0,44.956,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
安徽,2012,lower,0.654,0.422,-42.532,1,0,42.532,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
安徽,2013,lower,0.656,0.438,-40.108,1,0,40.108,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
安徽,2014,lower,0.658,0.454,-37.684,1,0,37.684,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
安徽,2015,lower,0.66,0.47,-35.26,1,0,35.26,observed_published_anchor,2015,2015,paper_2025_yangtze_water_compensation_table5
安徽,2016,lower,0.692,0.476,-27.894,1,0,27.894,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
安徽,2017,lower,0.724,0.482,-20.528,1,0,20.528,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
安徽,2018,lower,0.756,0.488,-13.162,1,0,13.162,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
安徽,2019,lower,0.788,0.494,-5.796,1,0,5.796,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
安徽,2020,lower,0.82,0.5,1.57,0,1,1.57,observed_published_anchor,2020,2020,paper_2025_yangtze_water_compensation_table5
江西,2010,middle,0.92,0.34,72.93,0,1,72.93,observed_published_anchor,2010,2010,paper_2025_yangtze_water_compensation_table5
江西,2011,middle,0.914,0.368,81.558,0,1,81.558,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
江西,2012,middle,0.908,0.396,90.186,0,1,90.186,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
江西,2013,middle,0.902,0.424,98.814,0,1,98.814,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
江西,2014,middle,0.896,0.452,107.442,0,1,107.442,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
江西,2015,middle,0.89,0.48,116.07,0,1,116.07,observed_published_anchor,2015,2015,paper_2025_yangtze_water_compensation_table5
江西,2016,middle,0.884,0.49,99.31,0,1,99.31,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
江西,2017,middle,0.878,0.5,82.55,0,1,82.55,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
江西,2018,middle,0.872,0.51,65.79,0,1,65.79,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
江西,2019,middle,0.866,0.52,49.03,0,1,49.03,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
江西,2020,middle,0.86,0.53,32.27,0,1,32.27,observed_published_anchor,2020,2020,paper_2025_yangtze_water_compensation_table5
湖北,2010,middle,0.7,0.36,-65.58,1,0,65.58,observed_published_anchor,2010,2010,paper_2025_yangtze_water_compensation_table5
湖北,2011,middle,0.662,0.398,-115.312,1,0,115.312,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
湖北,2012,middle,0.624,0.436,-165.044,1,0,165.044,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
湖北,2013,middle,0.586,0.474,-214.776,1,0,214.776,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
湖北,2014,middle,0.548,0.512,-264.508,1,0,264.508,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
湖北,2015,middle,0.51,0.55,-314.24,1,0,314.24,observed_published_anchor,2015,2015,paper_2025_yangtze_water_compensation_table5
湖北,2016,middle,0.576,0.554,-246.21,1,0,246.21,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
湖北,2017,middle,0.642,0.558,-178.18,1,0,178.18,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
湖北,2018,middle,0.708,0.562,-110.15,1,0,110.15,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
湖北,2019,middle,0.774,0.566,-42.12,1,0,42.12,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
湖北,2020,middle,0.84,0.57,25.91,0,1,25.91,observed_published_anchor,2020,2020,paper_2025_yangtze_water_compensation_table5
湖南,2010,middle,0.79,0.34,7.7,0,1,7.7,observed_published_anchor,2010,2010,paper_2025_yangtze_water_compensation_table5
湖南,2011,middle,0.79,0.378,15.336,0,1,15.336,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
湖南,2012,middle,0.79,0.416,22.972,0,1,22.972,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
湖南,2013,middle,0.79,0.454,30.608,0,1,30.608,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
湖南,2014,middle,0.79,0.492,38.244,0,1,38.244,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
湖南,2015,middle,0.79,0.53,45.88,0,1,45.88,observed_published_anchor,2015,2015,paper_2025_yangtze_water_compensation_table5
湖南,2016,middle,0.8,0.542,41.086,0,1,41.086,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
湖南,2017,middle,0.81,0.554,36.292,0,1,36.292,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
湖南,2018,middle,0.82,0.566,31.498,0,1,31.498,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
湖南,2019,middle,0.83,0.578,26.704,0,1,26.704,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
湖南,2020,middle,0.84,0.59,21.91,0,1,21.91,observed_published_anchor,2020,2020,paper_2025_yangtze_water_compensation_table5
重庆,2010,upper,0.61,0.41,-15.95,1,0,15.95,observed_published_anchor,2010,2010,paper_2025_yangtze_water_compensation_table5
重庆,2011,upper,0.61,0.414,-15.364,1,0,15.364,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
重庆,2012,upper,0.61,0.418,-14.778,1,0,14.778,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
重庆,2013,upper,0.61,0.422,-14.192,1,0,14.192,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
重庆,2014,upper,0.61,0.426,-13.606,1,0,13.606,linear_interpolation,2010,2015,paper_2025_yangtze_water_compensation_table5
重庆,2015,upper,0.61,0.43,-13.02,1,0,13.02,observed_published_anchor,2015,2015,paper_2025_yangtze_water_compensation_table5
重庆,2016,upper,0.66,0.442,-9.166,1,0,9.166,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
重庆,2017,upper,0.71,0.454,-5.312,1,0,5.312,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
重庆,2018,upper,0.76,0.466,-1.458,1,0,1.458,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
重庆,2019,upper,0.81,0.478,2.396,0,1,2.396,linear_interpolation,2015,2020,paper_2025_yangtze_water_compensation_table5
重庆,2020,upper,0.86,0.49,6.25,0,1,6.25,observed_published_anchor,2020,2020,paper_2025_yangtze_water_compensation_table5
四川,2010,upper,0.82,0.33,0.75,0,1,0.75,observed_published_anchor,2010,2010,paper_2025_yangtze_water_compensation_table5
