basin_position_group,year,province_count,mean_compensation_100m_cny,mean_absolute_compensation_100m_cny,mean_overload_coefficient,mean_correction_coefficient,payer_share
lower,2010,4,-637.9325,637.9325,-2.2325,0.4375,1.0
middle,2010,3,5.016666666666669,48.73666666666667,0.8033333333333333,0.3466666666666667,0.3333333333333333
upper,2010,4,-4.0225,4.3975,0.72,0.35,0.75
lower,2011,4,-561.925,561.925,-1.8024999999999998,0.461,1.0
middle,2011,3,-6.13933333333333,70.73533333333334,0.7886666666666667,0.38133333333333336,0.3333333333333333
upper,2011,4,-3.6805000000000003,4.4105,0.7170000000000001,0.373,0.5
lower,2012,4,-485.9175,485.9175,-1.3725,0.4845,1.0
middle,2012,3,-17.295333333333335,92.734,0.774,0.416,0.3333333333333333
upper,2012,4,-3.3385000000000002,4.4685,0.714,0.396,0.5
lower,2013,4,-409.90999999999997,409.90999999999997,-0.9425,0.508,1.0
middle,2013,3,-28.451333333333338,114.73266666666666,0.7593333333333333,0.4506666666666666,0.3333333333333333
upper,2013,4,-2.9965,4.5265,0.7110000000000001,0.419,0.5
lower,2014,4,-333.90250000000003,333.90250000000003,-0.5125,0.5315,1.0
middle,2014,3,-39.60733333333333,136.7313333333333,0.7446666666666667,0.48533333333333334,0.3333333333333333
upper,2014,4,-2.6545,4.6895,0.708,0.442,0.75
lower,2015,4,-257.895,257.895,-0.0825,0.5549999999999999,1.0
middle,2015,3,-50.76333333333334,158.73,0.73,0.52,0.3333333333333333
upper,2015,4,-2.3125,4.8675,0.705,0.46499999999999997,0.75
lower,2016,4,-285.0245,285.0245,-0.11300000000000004,0.567,1.0
middle,2016,3,-35.27133333333334,128.86866666666666,0.7533333333333333,0.5286666666666667,0.3333333333333333
upper,2016,4,-1.3290000000000002,3.982,0.725,0.47550000000000003,0.75
lower,2017,4,-312.15400000000005,312.15400000000005,-0.1435,0.579,1.0
middle,2017,3,-19.779333333333337,99.00733333333334,0.7766666666666667,0.5373333333333333,0.3333333333333333
upper,2017,4,-0.34550000000000014,3.2315,0.745,0.486,0.5
lower,2018,4,-339.2835,339.2835,-0.174,0.591,1.0
middle,2018,3,-4.287333333333333,69.146,0.7999999999999999,0.5459999999999999,0.3333333333333333
upper,2018,4,0.6380000000000001,2.5260000000000002,0.765,0.49650000000000005,0.5
lower,2019,4,-366.413,366.413,-0.20450000000000002,0.603,1.0
middle,2019,3,11.204666666666668,39.284666666666666,0.8233333333333333,0.5546666666666666,0.3333333333333333
upper,2019,4,1.6215,3.0185,0.785,0.507,0.25
lower,2020,4,-393.5425,394.32750000000004,-0.23500000000000004,0.615,0.75
middle,2020,3,26.69666666666667,26.69666666666667,0.8466666666666667,0.5633333333333334,0.0
upper,2020,4,2.605,4.24,0.8049999999999999,0.5175,0.25
